#{"t_start": 1743685495.1561525, "env_id": "LanguageLearningEnv-v0"}
r,l,t
665.0,51,19.335124
584.0,51,19.386194
564.0,41,19.432782
684.0,52,19.489891
702.0,51,19.540994
660.0,51,19.60009
639.0,41,19.652175
535.0,45,19.695745
613.0,41,19.738803
562.0,41,19.77986
637.0,51,19.834466
567.0,52,19.896075
592.0,42,19.939657
521.0,44,20.005916
580.0,42,20.15031
586.0,41,20.190895
567.0,42,20.231951
699.0,51,20.288084
631.0,41,20.333699
554.0,41,20.382331
591.0,41,20.418421
559.0,41,20.458512
656.0,52,20.509613
625.0,51,20.558194
595.0,41,20.605997
591.0,41,20.647078
568.0,41,20.687156
704.0,52,20.736248
754.0,53,20.78582
623.0,42,20.826401
557.0,42,20.875008
620.0,44,20.928159
522.0,41,20.975792
657.0,41,21.025917
495.0,42,21.071499
605.0,42,21.112078
586.0,41,21.156156
584.0,41,21.20428
610.0,41,21.246346
556.0,42,21.294976
556.0,41,21.339033
613.0,42,21.389659
648.0,51,21.44226
605.0,45,21.494378
633.0,42,21.543969
684.0,41,21.5901
650.0,51,21.649745
708.0,51,21.70738
599.0,41,21.752954
621.0,41,21.797696
633.0,41,21.839635
589.0,42,21.889756
638.0,42,21.940019
639.0,44,21.994788
649.0,51,22.049815
579.0,41,22.09409
693.0,41,22.149673
790.0,52,22.225558
749.0,53,22.281837
615.0,41,22.323525
716.0,51,22.652898
709.0,51,22.712487
605.0,41,22.755583
577.0,46,22.807733
695.0,52,22.866882
619.0,41,22.917512
650.0,41,22.963108
483.0,41,23.006686
642.0,41,23.070273
607.0,41,23.121352
602.0,41,23.16443
568.0,44,23.212566
572.0,41,23.26017
719.0,51,23.345918
625.0,51,23.428272
600.0,44,23.510527
724.0,53,23.65104
624.0,41,23.704146
674.0,43,23.753737
631.0,51,23.824841
643.0,41,23.872414
566.0,42,23.921499
615.0,42,23.973071
627.0,53,24.035707
583.0,41,24.083306
546.0,41,24.13141
563.0,41,24.173478
524.0,45,24.228267
576.0,42,24.277841
614.0,51,24.344038
552.0,41,24.404991
621.0,52,24.47245
706.0,53,24.534068
624.0,41,24.577132
689.0,54,24.641239
642.0,41,24.689804
593.0,42,24.737381
598.0,41,24.786017
640.0,41,24.833139
768.0,52,24.900333
485.0,40,24.948462
726.0,51,25.028098
669.0,41,25.088176
600.0,41,25.138247
694.0,51,25.193321
588.0,41,25.236892
596.0,41,25.278992
658.0,42,25.344206
647.0,41,25.390827
632.0,51,25.448949
646.0,42,25.498094
644.0,41,25.544698
688.0,41,25.586751
723.0,51,25.645351
610.0,41,25.852107
630.0,41,25.893162
653.0,41,25.934745
592.0,41,25.987924
537.0,42,26.029842
678.0,54,26.094075
714.0,52,26.155806
574.0,41,26.204792
578.0,41,26.252069
631.0,41,26.299664
605.0,41,26.350076
634.0,41,26.404763
651.0,41,26.450011
567.0,41,26.500019
564.0,41,26.550031
732.0,51,26.615819
596.0,41,26.67179
609.0,51,26.723695
608.0,41,26.769698
624.0,51,26.838176
610.0,41,26.895336
599.0,41,26.944976
536.0,41,26.995565
601.0,41,27.042656
567.0,44,27.106246
580.0,43,27.151813
557.0,41,27.195874
623.0,44,27.245963
619.0,41,27.296535
614.0,41,27.352143
553.0,41,27.396205
638.0,41,27.440286
714.0,51,27.49487
599.0,42,27.547939
618.0,41,27.595509
593.0,41,27.640612
640.0,41,27.686682
590.0,42,27.740803
552.0,41,27.784877
601.0,41,27.827953
616.0,41,27.874552
657.0,41,27.925138
659.0,51,27.985241
574.0,42,28.038331
616.0,41,28.084923
798.0,51,28.142529
615.0,41,28.194102
693.0,51,28.254715
568.0,41,28.296781
737.0,51,28.358446
566.0,41,28.409073
612.0,41,28.458668
614.0,41,28.511838
615.0,42,28.58652
665.0,51,28.664527
634.0,41,28.738683
743.0,53,28.840592
562.0,41,28.908517
657.0,43,28.966211
638.0,41,29.018353
608.0,41,29.240186
604.0,41,29.285272
610.0,44,29.337866
740.0,51,29.40648
595.0,41,29.455059
711.0,51,29.515666
705.0,51,29.587317
633.0,41,29.638432
647.0,51,29.70458
604.0,41,29.761669
661.0,51,29.822269
600.0,41,29.868329
567.0,41,29.913403
605.0,41,29.957458
662.0,41,30.002534
682.0,41,30.050102
772.0,51,30.109711
637.0,42,30.154779
668.0,51,30.216386
628.0,42,30.262956
694.0,52,30.321547
661.0,41,30.371128
607.0,42,30.413717
661.0,41,30.460278
772.0,51,30.518364
627.0,41,30.564933
600.0,41,30.607491
604.0,41,30.650052
662.0,41,30.69414
620.0,41,30.751747
623.0,41,30.794809
696.0,51,30.847922
702.0,51,30.903059
550.0,41,30.950175
587.0,41,30.996264
661.0,41,31.050906
678.0,51,31.124348
661.0,41,31.171444
599.0,41,31.216035
627.0,41,31.26862
628.0,41,31.440633
636.0,41,31.484706
684.0,41,31.527301
623.0,41,31.573869
774.0,51,31.632482
660.0,41,31.681099
592.0,41,31.723722
662.0,41,31.771314
589.0,41,31.819929
696.0,41,31.874084
665.0,41,31.917756
642.0,41,31.96088
586.0,41,32.023804
680.0,41,32.075553
734.0,52,32.135086
634.0,41,32.18363
624.0,41,32.239887
638.0,41,32.291447
582.0,42,32.337782
623.0,41,32.390014
645.0,41,32.437579
720.0,51,32.49211
722.0,53,32.560704
761.0,51,32.630325
665.0,41,32.6774
602.0,41,32.728013
562.0,41,32.772586
548.0,41,32.824674
626.0,41,32.872263
631.0,51,32.926357
598.0,41,32.968426
671.0,41,33.014522
667.0,51,33.068108
632.0,41,33.117227
676.0,41,33.159803
686.0,51,33.216401
778.0,53,33.290502
659.0,41,33.339981
679.0,52,33.406607
724.0,51,33.463254
596.0,51,33.523102
668.0,41,33.574742
646.0,41,33.624857
645.0,41,33.667915
661.0,42,33.720532
642.0,53,33.776117
638.0,41,33.851846
597.0,41,33.92105
624.0,41,33.998749
620.0,41,34.061943
620.0,41,34.116803
690.0,51,34.178931
628.0,41,34.233583
604.0,41,34.286239
732.0,52,34.348917
742.0,51,34.415051
623.0,41,34.465626
579.0,41,34.511636
600.0,42,34.55764
580.0,41,34.607675
740.0,51,34.664114
624.0,44,34.721542
671.0,41,34.766096
579.0,41,34.815307
702.0,41,34.866953
627.0,41,34.912549
626.0,41,34.980686
705.0,51,35.042356
589.0,41,35.090954
770.0,51,35.162116
768.0,51,35.22679
713.0,51,35.284915
658.0,41,35.33301
819.0,51,35.620365
589.0,41,35.665015
559.0,41,35.708117
698.0,52,35.76572
494.0,41,35.813294
660.0,41,35.854863
623.0,41,35.904469
642.0,41,35.956571
645.0,41,36.009701
634.0,42,36.055333
588.0,41,36.103963
658.0,41,36.156107
556.0,41,36.20569
748.0,51,36.283311
699.0,51,36.352412
620.0,42,36.402024
600.0,41,36.445654
638.0,41,36.500793
570.0,41,36.553932
691.0,51,36.61309
698.0,51,36.672738
562.0,41,36.71479
622.0,41,36.762863
567.0,42,36.811038
623.0,41,36.870637
605.0,41,36.93425
640.0,41,36.980856
565.0,41,37.144685
665.0,41,37.189751
645.0,41,37.244336
600.0,41,37.285406
645.0,41,37.330486
629.0,51,37.390604
664.0,41,37.435222
592.0,41,37.482809
619.0,42,37.538439
659.0,41,37.590065
699.0,51,37.649724
663.0,51,37.726084
706.0,51,37.780994
736.0,51,37.846284
573.0,41,37.889689
640.0,41,37.948092
628.0,43,37.992095
688.0,41,38.049696
643.0,41,38.105313
681.0,41,38.14972
661.0,41,38.225765
591.0,41,38.283617
597.0,41,38.335511
667.0,41,38.393712
638.0,41,38.44737
596.0,41,38.511755
683.0,41,38.559842
562.0,41,38.603904
621.0,41,38.651541
592.0,41,38.706162
614.0,41,38.75078
626.0,41,38.794888
623.0,41,38.839986
648.0,41,38.893141
683.0,41,38.943246
607.0,41,38.991431
368.0,31,39.036062
682.0,51,39.133832
651.0,42,39.206542
722.0,51,39.296751
607.0,42,39.359872
611.0,41,39.411501
